id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_titik_wifi,satuan,tahun
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,13,TITIK,2022
93,32,JAWA BARAT,3213,KABUPATEN SUBANG,9,TITIK,2022
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8,TITIK,2022
95,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,TITIK,2022
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,8,TITIK,2022
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,TITIK,2022
98,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10,TITIK,2022
99,32,JAWA BARAT,3271,KOTA BOGOR,8,TITIK,2022
100,32,JAWA BARAT,3272,KOTA SUKABUMI,5,TITIK,2022
101,32,JAWA BARAT,3273,KOTA BANDUNG,8,TITIK,2022
102,32,JAWA BARAT,3274,KOTA CIREBON,8,TITIK,2022
103,32,JAWA BARAT,3275,KOTA BEKASI,8,TITIK,2022
104,32,JAWA BARAT,3276,KOTA DEPOK,5,TITIK,2022
105,32,JAWA BARAT,3277,KOTA CIMAHI,8,TITIK,2022
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,TITIK,2022
107,32,JAWA BARAT,3278,KOTA BANJAR,8,TITIK,2022
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,8,TITIK,2023
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8,TITIK,2023
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8,TITIK,2023
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8,TITIK,2023
112,32,JAWA BARAT,3205,KABUPATEN GARUT,8,TITIK,2023
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9,TITIK,2023
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8,TITIK,2023
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8,TITIK,2023
116,32,JAWA BARAT,3209,KABUPATEN CIREBON,9,TITIK,2023
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8,TITIK,2023
118,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8,TITIK,2023
119,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,13,TITIK,2023
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,9,TITIK,2023
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8,TITIK,2023
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,TITIK,2023
123,32,JAWA BARAT,3216,KABUPATEN BEKASI,8,TITIK,2023
124,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,TITIK,2023
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10,TITIK,2023
126,32,JAWA BARAT,3271,KOTA BOGOR,8,TITIK,2023
127,32,JAWA BARAT,3272,KOTA SUKABUMI,5,TITIK,2023
128,32,JAWA BARAT,3273,KOTA BANDUNG,8,TITIK,2023
129,32,JAWA BARAT,3274,KOTA CIREBON,8,TITIK,2023
130,32,JAWA BARAT,3275,KOTA BEKASI,8,TITIK,2023
131,32,JAWA BARAT,3276,KOTA DEPOK,5,TITIK,2023
132,32,JAWA BARAT,3277,KOTA CIMAHI,8,TITIK,2023
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,TITIK,2023
134,32,JAWA BARAT,3278,KOTA BANJAR,8,TITIK,2023
