,kabkot,halase,kemiskinan,wifi,uhahi,sum,rank,tahun,label
120,KABUPATEN PURWAKARTA,0.023817887,0.020017823,0.016083716,0.078250126,0.138169552,113,2023,Sangat Buruk
121,KABUPATEN KARAWANG,0.023817887,0.068063054,0.016083716,0.150903417,0.258868074,41,2023,Cukup Baik
122,KABUPATEN BEKASI,0.073381358,0.068063054,0.016083716,0.305716388,0.463244516,12,2023,Sempurna
123,KABUPATEN BANDUNG BARAT,0.012540975,0.020017823,0.016083716,0.150903417,0.199545932,70,2023,Cukup Baik
124,KABUPATEN PANGANDARAN,0.023817887,0.020017823,0.016083716,0.078250126,0.138169552,113,2023,Sangat Buruk
125,KOTA BOGOR,0.073381358,0.068063054,0.016083716,0.305716388,0.463244516,12,2023,Sempurna
126,KOTA SUKABUMI,0.073381358,0.020017823,0.006108104,0.150903417,0.250410701,47,2023,Sangat Baik
127,KOTA BANDUNG,0.073381358,0.068063054,0.016083716,0.305716388,0.463244516,12,2023,Sempurna
128,KOTA CIREBON,0.073381358,0.020017823,0.016083716,0.150903417,0.260386314,35,2023,Sangat Baik
129,KOTA BEKASI,0.073381358,0.095614884,0.016083716,0.305716388,0.490796346,1,2023,Sempurna
130,KOTA DEPOK,0.073381358,0.095614884,0.006108104,0.305716388,0.480820733,5,2023,Sempurna
131,KOTA CIMAHI,0.073381358,0.095614884,0.016083716,0.305716388,0.490796346,1,2023,Sempurna
132,KOTA TASIKMALAYA,0.073381358,0.020017823,0.016083716,0.150903417,0.260386314,35,2023,Sangat Baik
133,KOTA BANJAR,0.073381358,0.095614884,0.016083716,0.078250126,0.263330084,34,2023,Baik
