"kabkot","halase","satuan","kemiskinan","satuan","wifi","satuan","uhahi","satuan","tahun"
KABUPATEN CIAMIS,"14.2",TAHUN,0.15,POIN,4,TITIK,72.02,TAHUN,2021
KABUPATEN KUNINGAN,"12.23",TAHUN,0.46,POIN,7,TITIK,73.78,TAHUN,2021
KABUPATEN CIREBON,"12.27",TAHUN,0.47,POIN,7,TITIK,72.18,TAHUN,2021
KABUPATEN MAJALENGKA,"12.23",TAHUN,0.77,POIN,5,TITIK,70.46,TAHUN,2021
KABUPATEN SUMEDANG,"12.98",TAHUN,0.46,POIN,5,TITIK,72.62,TAHUN,2021
KABUPATEN INDRAMAYU,"12.26",TAHUN,0.66,POIN,5,TITIK,71.84,TAHUN,2021
KABUPATEN SUBANG,"11.71",TAHUN,0.5,POIN,5,TITIK,72.58,TAHUN,2021
KABUPATEN PURWAKARTA,"12.12",TAHUN,0.3,POIN,5,TITIK,71.18,TAHUN,2021
KABUPATEN KARAWANG,"12.1",TAHUN,0.29,POIN,5,TITIK,72.33,TAHUN,2021
KABUPATEN BEKASI,"13.1",TAHUN,0.26,POIN,4,TITIK,73.81,TAHUN,2021
KABUPATEN BANDUNG BARAT,"11.88",TAHUN,0.32,POIN,4,TITIK,72.52,TAHUN,2021
KABUPATEN PANGANDARAN,"12.08",TAHUN,0.27,POIN,7,TITIK,71.6,TAHUN,2021
KOTA BOGOR,"13.42",TAHUN,0.27,POIN,6,TITIK,73.82,TAHUN,2021
KOTA SUKABUMI,"13.58",TAHUN,0.36,POIN,5,TITIK,72.58,TAHUN,2021
KOTA BANDUNG,"14.21",TAHUN,0.24,POIN,18,TITIK,74.46,TAHUN,2021
KOTA CIREBON,"13.13",TAHUN,0.68,POIN,6,TITIK,72.44,TAHUN,2021
KOTA BEKASI,"14.1",TAHUN,0.16,POIN,6,TITIK,75.19,TAHUN,2021
KOTA DEPOK,"13.93",TAHUN,0.07,POIN,5,TITIK,74.62,TAHUN,2021
KOTA CIMAHI,"13.81",TAHUN,0.21,POIN,5,TITIK,74.21,TAHUN,2021
KOTA TASIKMALAYA,"13.46",TAHUN,0.69,POIN,5,TITIK,72.34,TAHUN,2021
KABUPATEN BOGOR,"12.5",TAHUN,0.45,POIN,8,TITIK,71.65,TAHUN,2022
KABUPATEN SUKABUMI,"12.25",TAHUN,0.19,POIN,8,TITIK,71.54,TAHUN,2022
KABUPATEN CIANJUR,"12.01",TAHUN,0.27,POIN,8,TITIK,70.58,TAHUN,2022
KABUPATEN BANDUNG,"12.71",TAHUN,0.21,POIN,8,TITIK,74.01,TAHUN,2022
KABUPATEN GARUT,"12.15",TAHUN,0.45,POIN,8,TITIK,71.85,TAHUN,2022
KABUPATEN TASIKMALAYA,"12.59",TAHUN,0.28,POIN,9,TITIK,69.95,TAHUN,2022
KABUPATEN CIAMIS,"14.28",TAHUN,0.24,POIN,8,TITIK,72.3,TAHUN,2022
KABUPATEN KUNINGAN,"12.24",TAHUN,0.53,POIN,8,TITIK,74.03,TAHUN,2022
KABUPATEN CIREBON,"12.28",TAHUN,0.59,POIN,9,TITIK,72.47,TAHUN,2022
KABUPATEN MAJALENGKA,"12.24",TAHUN,0.36,POIN,8,TITIK,70.76,TAHUN,2022
KABUPATEN SUMEDANG,"12.99",TAHUN,0.53,POIN,8,TITIK,72.91,TAHUN,2022
KABUPATEN INDRAMAYU,"12.27",TAHUN,0.48,POIN,13,TITIK,72.15,TAHUN,2022
KABUPATEN SUBANG,"11.78",TAHUN,0.41,POIN,9,TITIK,72.92,TAHUN,2022
KABUPATEN PURWAKARTA,"12.13",TAHUN,0.25,POIN,8,TITIK,71.47,TAHUN,2022
KABUPATEN KARAWANG,"12.19",TAHUN,0.41,POIN,7,TITIK,72.62,TAHUN,2022
KABUPATEN BEKASI,"13.11",TAHUN,0.18,POIN,8,TITIK,74.04,TAHUN,2022
KABUPATEN BANDUNG BARAT,"11.89",TAHUN,0.41,POIN,8,TITIK,72.79,TAHUN,2022
KABUPATEN PANGANDARAN,"12.11",TAHUN,0.26,POIN,10,TITIK,71.89,TAHUN,2022
KOTA BOGOR,"13.43",TAHUN,0.29,POIN,8,TITIK,74.13,TAHUN,2022
KOTA SUKABUMI,"13.59",TAHUN,0.38,POIN,5,TITIK,72.85,TAHUN,2022
KOTA BANDUNG,"14.23",TAHUN,0.17,POIN,8,TITIK,74.75,TAHUN,2022
KOTA CIREBON,"13.14",TAHUN,0.3,POIN,8,TITIK,72.74,TAHUN,2022
KOTA BEKASI,"14.11",TAHUN,0.27,POIN,8,TITIK,75.48,TAHUN,2022
KOTA DEPOK,"13.94",TAHUN,0.1,POIN,5,TITIK,74.92,TAHUN,2022
KOTA CIMAHI,"13.82",TAHUN,0.14,POIN,8,TITIK,74.5,TAHUN,2022
KOTA TASIKMALAYA,"13.47",TAHUN,0.65,POIN,8,TITIK,72.63,TAHUN,2022
KOTA BANJAR,"13.25",TAHUN,0.28,POIN,8,TITIK,71.49,TAHUN,2022
KABUPATEN BOGOR,"12.64",TAHUN,0.21,POIN,8,TITIK,71.92,TAHUN,2023
KABUPATEN SUKABUMI,"12.38",TAHUN,0.23,POIN,8,TITIK,71.83,TAHUN,2023
KABUPATEN CIANJUR,"12.03",TAHUN,0.26,POIN,8,TITIK,70.79,TAHUN,2023
KABUPATEN BANDUNG,"12.73",TAHUN,0.29,POIN,8,TITIK,74.27,TAHUN,2023
KABUPATEN GARUT,"12.16",TAHUN,0.23,POIN,8,TITIK,72.07,TAHUN,2023
KABUPATEN TASIKMALAYA,"12.63",TAHUN,0.42,POIN,9,TITIK,70.19,TAHUN,2023
KABUPATEN CIAMIS,"14.29",TAHUN,0.17,POIN,8,TITIK,72.57,TAHUN,2023
KABUPATEN KUNINGAN,"12.26",TAHUN,0.42,POIN,8,TITIK,74.29,TAHUN,2023
KABUPATEN CIREBON,"12.41",TAHUN,0.53,POIN,9,TITIK,72.76,TAHUN,2023
KABUPATEN MAJALENGKA,"12.26",TAHUN,0.26,POIN,8,TITIK,71.05,TAHUN,2023
KABUPATEN SUMEDANG,"13.01",TAHUN,0.35,POIN,8,TITIK,73.19,TAHUN,2023
KABUPATEN INDRAMAYU,"12.29",TAHUN,0.62,POIN,13,TITIK,72.46,TAHUN,2023
KABUPATEN SUBANG,"11.91",TAHUN,0.55,POIN,9,TITIK,73.24,TAHUN,2023
KABUPATEN PURWAKARTA,"12.18",TAHUN,0.36,POIN,8,TITIK,71.74,TAHUN,2023
KABUPATEN KARAWANG,"12.2",TAHUN,0.22,POIN,7,TITIK,72.9,TAHUN,2023
KABUPATEN BEKASI,"13.17",TAHUN,0.2,POIN,8,TITIK,74.3,TAHUN,2023
